TRADE ID,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
75,AUS,BOP,TOT,PC_GDP,A,1975,-0.7160975,
76,AUS,BOP,TOT,PC_GDP,A,1976,-1.417478,
77,AUS,BOP,TOT,PC_GDP,A,1977,-2.468114,
78,AUS,BOP,TOT,PC_GDP,A,1978,-3.251158,
79,AUS,BOP,TOT,PC_GDP,A,1979,-1.551736,
80,AUS,BOP,TOT,PC_GDP,A,1980,-2.422135,
81,AUS,BOP,TOT,PC_GDP,A,1981,-4.097722,
82,AUS,BOP,TOT,PC_GDP,A,1982,-4.203255,
83,AUS,BOP,TOT,PC_GDP,A,1983,-3.222458,
84,AUS,BOP,TOT,PC_GDP,A,1984,-4.210837,
85,AUS,BOP,TOT,PC_GDP,A,1985,-4.905505,
86,AUS,BOP,TOT,PC_GDP,A,1986,-5.118436,
87,AUS,BOP,TOT,PC_GDP,A,1987,-3.42487,
88,AUS,BOP,TOT,PC_GDP,A,1988,-3.823492,
89,AUS,BOP,TOT,PC_GDP,A,1989,-6.014676,
90,AUS,BOP,TOT,PC_GDP,A,1990,-4.871557,
91,AUS,BOP,TOT,PC_GDP,A,1991,-3.296839,
92,AUS,BOP,TOT,PC_GDP,A,1992,-3.271485,
93,AUS,BOP,TOT,PC_GDP,A,1993,-3.039574,
94,AUS,BOP,TOT,PC_GDP,A,1994,-4.521072,
95,AUS,BOP,TOT,PC_GDP,A,1995,-5.012756,
96,AUS,BOP,TOT,PC_GDP,A,1996,-3.475877,
97,AUS,BOP,TOT,PC_GDP,A,1997,-2.917605,
98,AUS,BOP,TOT,PC_GDP,A,1998,-4.912073,
99,AUS,BOP,TOT,PC_GDP,A,1999,-5.490518,
100,AUS,BOP,TOT,PC_GDP,A,2000,-4.112042,
101,AUS,BOP,TOT,PC_GDP,A,2001,-2.251086,
102,AUS,BOP,TOT,PC_GDP,A,2002,-3.799267,
103,AUS,BOP,TOT,PC_GDP,A,2003,-5.35313,
104,AUS,BOP,TOT,PC_GDP,A,2004,-6.309295,
105,AUS,BOP,TOT,PC_GDP,A,2005,-5.954938,
106,AUS,BOP,TOT,PC_GDP,A,2006,-5.866898,
107,AUS,BOP,TOT,PC_GDP,A,2007,-6.712353,
108,AUS,BOP,TOT,PC_GDP,A,2008,-4.779266,
109,AUS,BOP,TOT,PC_GDP,A,2009,-4.65907,
110,AUS,BOP,TOT,PC_GDP,A,2010,-3.67606,
111,AUS,BOP,TOT,PC_GDP,A,2011,-3.082255,
112,AUS,BOP,TOT,PC_GDP,A,2012,-4.296597,
113,AUS,BOP,TOT,PC_GDP,A,2013,-3.384048,
114,AUS,BOP,TOT,PC_GDP,A,2014,-3.072289,
115,AUS,BOP,TOT,PC_GDP,A,2015,-4.617872,
116,AUS,BOP,TOT,PC_GDP,A,2016,-3.295048,
117,AUS,BOP,TOT,PC_GDP,A,2017,-2.554843,
118,AUS,BOP,TOT,PC_GDP,A,2018,-2.056305,
119,AUT,BOP,TOT,MLN_USD,A,1995,-6891.689,
120,AUT,BOP,TOT,MLN_USD,A,1996,-6736.545,
121,AUT,BOP,TOT,MLN_USD,A,1997,-5417.419,
122,AUT,BOP,TOT,MLN_USD,A,1998,-4076.126,
123,AUT,BOP,TOT,MLN_USD,A,1999,-4909.634,
124,AUT,BOP,TOT,MLN_USD,A,2000,-1393.425,
125,AUT,BOP,TOT,MLN_USD,A,2001,-1571.692,
126,AUT,BOP,TOT,MLN_USD,A,2002,4490.771,
127,AUT,BOP,TOT,MLN_USD,A,2003,4051.23,
128,AUT,BOP,TOT,MLN_USD,A,2004,6249.518,
129,AUT,BOP,TOT,MLN_USD,A,2005,7130.079,
130,AUT,BOP,TOT,MLN_USD,A,2006,11074.47,
131,AUT,BOP,TOT,MLN_USD,A,2007,14781.95,
132,AUT,BOP,TOT,MLN_USD,A,2008,19282.66,
133,AUT,BOP,TOT,MLN_USD,A,2009,10391.77,
134,AUT,BOP,TOT,MLN_USD,A,2010,11188.76,
135,AUT,BOP,TOT,MLN_USD,A,2011,7033.218,
136,AUT,BOP,TOT,MLN_USD,A,2012,6071.931,
137,AUT,BOP,TOT,MLN_USD,A,2013,8351.28,
138,AUT,BOP,TOT,MLN_USD,A,2014,10934.13,
139,AUT,BOP,TOT,MLN_USD,A,2015,6589.372,
140,AUT,BOP,TOT,MLN_USD,A,2016,10772.09,
141,AUT,BOP,TOT,MLN_USD,A,2017,6477.233,
142,AUT,BOP,TOT,MLN_USD,A,2018,10602.79,
143,AUT,BOP,TOT,PC_GDP,A,1995,-2.859428,
144,AUT,BOP,TOT,PC_GDP,A,1996,-2.837173,
145,AUT,BOP,TOT,PC_GDP,A,1997,-2.54446,
146,AUT,BOP,TOT,PC_GDP,A,1998,-1.867106,
147,AUT,BOP,TOT,PC_GDP,A,1999,-2.260479,
148,AUT,BOP,TOT,PC_GDP,A,2000,-0.7078437,
149,AUT,BOP,TOT,PC_GDP,A,2001,-0.7958279,
150,AUT,BOP,TOT,PC_GDP,A,2002,2.10157,
151,AUT,BOP,TOT,PC_GDP,A,2003,1.546607,
152,AUT,BOP,TOT,PC_GDP,A,2004,2.075526,
153,AUT,BOP,TOT,PC_GDP,A,2005,2.257994,
154,AUT,BOP,TOT,PC_GDP,A,2006,3.294322,
155,AUT,BOP,TOT,PC_GDP,A,2007,3.802408,
156,AUT,BOP,TOT,PC_GDP,A,2008,4.48969,
157,AUT,BOP,TOT,PC_GDP,A,2009,2.596825,
158,AUT,BOP,TOT,PC_GDP,A,2010,2.855051,
159,AUT,BOP,TOT,PC_GDP,A,2011,1.630936,
160,AUT,BOP,TOT,PC_GDP,A,2012,1.48249,
161,AUT,BOP,TOT,PC_GDP,A,2013,1.942205,
162,AUT,BOP,TOT,PC_GDP,A,2014,2.47369,
163,AUT,BOP,TOT,PC_GDP,A,2015,1.725394,
164,AUT,BOP,TOT,PC_GDP,A,2016,2.726283,
165,AUT,BOP,TOT,PC_GDP,A,2017,1.551733,
166,AUT,BOP,TOT,PC_GDP,A,2018,2.329199,
167,BEL,BOP,TOT,MLN_USD,A,2003,11266.74,
168,BEL,BOP,TOT,MLN_USD,A,2004,12132.14,
169,BEL,BOP,TOT,MLN_USD,A,2005,8066.546,
170,BEL,BOP,TOT,MLN_USD,A,2006,7872,
171,BEL,BOP,TOT,MLN_USD,A,2007,9202.922,
172,BEL,BOP,TOT,MLN_USD,A,2008,-5168.262,
173,BEL,BOP,TOT,MLN_USD,A,2009,-5216.724,
174,BEL,BOP,TOT,MLN_USD,A,2010,8526.661,
175,BEL,BOP,TOT,MLN_USD,A,2011,-5655.219,
176,BEL,BOP,TOT,MLN_USD,A,2012,-264.7794,
177,BEL,BOP,TOT,MLN_USD,A,2013,-1656.716,
178,BEL,BOP,TOT,MLN_USD,A,2014,-4619.905,
179,BEL,BOP,TOT,MLN_USD,A,2015,-4659.152,
180,BEL,BOP,TOT,MLN_USD,A,2016,2620.865,
181,BEL,BOP,TOT,MLN_USD,A,2017,6167.237,
182,BEL,BOP,TOT,MLN_USD,A,2018,-5406.429,
183,BEL,BOP,TOT,PC_GDP,A,2003,3.541321,
184,BEL,BOP,TOT,PC_GDP,A,2004,3.286595,
185,BEL,BOP,TOT,PC_GDP,A,2005,2.105601,
186,BEL,BOP,TOT,PC_GDP,A,2006,1.916339,
187,BEL,BOP,TOT,PC_GDP,A,2007,1.972748,
188,BEL,BOP,TOT,PC_GDP,A,2008,-1.012874,
189,BEL,BOP,TOT,PC_GDP,A,2009,-1.096161,
190,BEL,BOP,TOT,PC_GDP,A,2010,1.761607,
191,BEL,BOP,TOT,PC_GDP,A,2011,-1.079539,
192,BEL,BOP,TOT,PC_GDP,A,2012,-0.04961688,
193,BEL,BOP,TOT,PC_GDP,A,2013,-0.3252041,
194,BEL,BOP,TOT,PC_GDP,A,2014,-0.8619537,
195,BEL,BOP,TOT,PC_GDP,A,2015,-1.019719,
196,BEL,BOP,TOT,PC_GDP,A,2016,0.5686139,
197,BEL,BOP,TOT,PC_GDP,A,2017,1.230435,
198,BEL,BOP,TOT,PC_GDP,A,2018,-0.9895644,
199,CAN,BOP,TOT,MLN_USD,A,1981,-12835.11,
200,CAN,BOP,TOT,MLN_USD,A,1982,1501.94,
201,CAN,BOP,TOT,MLN_USD,A,1983,-2858.852,
202,CAN,BOP,TOT,MLN_USD,A,1984,-1668.439,
203,CAN,BOP,TOT,MLN_USD,A,1985,-6060.068,
204,CAN,BOP,TOT,MLN_USD,A,1986,-11597.37,
205,CAN,BOP,TOT,MLN_USD,A,1987,-13980.7,
206,CAN,BOP,TOT,MLN_USD,A,1988,-15590.28,
207,CAN,BOP,TOT,MLN_USD,A,1989,-22448.67,
208,CAN,BOP,TOT,MLN_USD,A,1990,-20431.57,
209,CAN,BOP,TOT,MLN_USD,A,1991,-22838.44,
210,CAN,BOP,TOT,MLN_USD,A,1992,-21519.99,
211,CAN,BOP,TOT,MLN_USD,A,1993,-22180.14,
212,CAN,BOP,TOT,MLN_USD,A,1994,-13775.83,
213,CAN,BOP,TOT,MLN_USD,A,1995,-4966.404,
214,CAN,BOP,TOT,MLN_USD,A,1996,2613.365,
215,CAN,BOP,TOT,MLN_USD,A,1997,-8721.977,
216,CAN,BOP,TOT,MLN_USD,A,1998,-8551.445,
217,CAN,BOP,TOT,MLN_USD,A,1999,1218.452,
218,CAN,BOP,TOT,MLN_USD,A,2000,18946.62,
219,CAN,BOP,TOT,MLN_USD,A,2001,16434.52,
220,CAN,BOP,TOT,MLN_USD,A,2002,13175.51,
221,CAN,BOP,TOT,MLN_USD,A,2003,11160.5,
222,CAN,BOP,TOT,MLN_USD,A,2004,24069.16,
223,CAN,BOP,TOT,MLN_USD,A,2005,22879.49,
224,CAN,BOP,TOT,MLN_USD,A,2006,19032.4,
225,CAN,BOP,TOT,MLN_USD,A,2007,11859.53,
226,CAN,BOP,TOT,MLN_USD,A,2008,4104.602,
227,CAN,BOP,TOT,MLN_USD,A,2009,-40307.59,
228,CAN,BOP,TOT,MLN_USD,A,2010,-57532.9,
229,CAN,BOP,TOT,MLN_USD,A,2011,-48713.83,
230,CAN,BOP,TOT,MLN_USD,A,2012,-64634.03,
231,CAN,BOP,TOT,MLN_USD,A,2013,-58038.69,
232,CAN,BOP,TOT,MLN_USD,A,2014,-41783.41,
233,CAN,BOP,TOT,MLN_USD,A,2015,-54527.26,
234,CAN,BOP,TOT,MLN_USD,A,2016,-47232.2,
235,CAN,BOP,TOT,MLN_USD,A,2017,-46580.36,
236,CAN,BOP,TOT,MLN_USD,A,2018,-42857.17,
237,CAN,BOP,TOT,PC_GDP,A,1981,-4.183425,
238,CAN,BOP,TOT,PC_GDP,A,1982,0.4816089,
239,CAN,BOP,TOT,PC_GDP,A,1983,-0.8212271,
240,CAN,BOP,TOT,PC_GDP,A,1984,-0.4699739,
241,CAN,BOP,TOT,PC_GDP,A,1985,-1.644692,
242,CAN,BOP,TOT,PC_GDP,A,1986,-3.060685,
243,CAN,BOP,TOT,PC_GDP,A,1987,-3.205224,
244,CAN,BOP,TOT,PC_GDP,A,1988,-3.061018,
245,CAN,BOP,TOT,PC_GDP,A,1989,-3.950574,
246,CAN,BOP,TOT,PC_GDP,A,1990,-3.433708,
247,CAN,BOP,TOT,PC_GDP,A,1991,-3.729068,
248,CAN,BOP,TOT,PC_GDP,A,1992,-3.61099,
249,CAN,BOP,TOT,PC_GDP,A,1993,-3.832772,
250,CAN,BOP,TOT,PC_GDP,A,1994,-2.386082,
251,CAN,BOP,TOT,PC_GDP,A,1995,-0.8276169,
252,CAN,BOP,TOT,PC_GDP,A,1996,0.4172089,
253,CAN,BOP,TOT,PC_GDP,A,1997,-1.329936,
254,CAN,BOP,TOT,PC_GDP,A,1998,-1.340545,
255,CAN,BOP,TOT,PC_GDP,A,1999,0.1712765,
256,CAN,BOP,TOT,PC_GDP,A,2000,2.542115,
257,CAN,BOP,TOT,PC_GDP,A,2001,2.207457,
258,CAN,BOP,TOT,PC_GDP,A,2002,1.744638,
259,CAN,BOP,TOT,PC_GDP,A,2003,1.225632,
260,CAN,BOP,TOT,PC_GDP,A,2004,2.344628,
261,CAN,BOP,TOT,PC_GDP,A,2005,1.903751,
262,CAN,BOP,TOT,PC_GDP,A,2006,1.446402,
263,CAN,BOP,TOT,PC_GDP,A,2007,0.826268,
264,CAN,BOP,TOT,PC_GDP,A,2008,0.1249234,
265,CAN,BOP,TOT,PC_GDP,A,2009,-2.90986,
266,CAN,BOP,TOT,PC_GDP,A,2010,-3.565923,
267,CAN,BOP,TOT,PC_GDP,A,2011,-2.716895,
268,CAN,BOP,TOT,PC_GDP,A,2012,-3.533229,
269,CAN,BOP,TOT,PC_GDP,A,2013,-3.142545,
270,CAN,BOP,TOT,PC_GDP,A,2014,-2.319554,
271,CAN,BOP,TOT,PC_GDP,A,2015,-3.495822,
272,CAN,BOP,TOT,PC_GDP,A,2016,-3.097635,
273,CAN,BOP,TOT,PC_GDP,A,2017,-2.807754,
274,CAN,BOP,TOT,PC_GDP,A,2018,-2.497816,
275,CZE,BOP,TOT,MLN_USD,A,1993,455.7159,
276,CZE,BOP,TOT,MLN_USD,A,1994,-786.5465,
277,CZE,BOP,TOT,MLN_USD,A,1995,-1369.023,
278,CZE,BOP,TOT,MLN_USD,A,1996,-4120.5,
279,CZE,BOP,TOT,MLN_USD,A,1997,-3565.252,
280,CZE,BOP,TOT,MLN_USD,A,1998,-1254.401,
281,CZE,BOP,TOT,MLN_USD,A,1999,-1462.862,
282,CZE,BOP,TOT,MLN_USD,A,2000,-2714.395,
283,CZE,BOP,TOT,MLN_USD,A,2001,-3273.266,
284,CZE,BOP,TOT,MLN_USD,A,2002,-4166.371,
285,CZE,BOP,TOT,MLN_USD,A,2003,-5693.969,
286,CZE,BOP,TOT,MLN_USD,A,2004,-4452.885,
287,CZE,BOP,TOT,MLN_USD,A,2005,-2869.392,
288,CZE,BOP,TOT,MLN_USD,A,2006,-3835.686,
289,CZE,BOP,TOT,MLN_USD,A,2007,-8729.523,
290,CZE,BOP,TOT,MLN_USD,A,2008,-4406.522,
291,CZE,BOP,TOT,MLN_USD,A,2009,-4682.413,
292,CZE,BOP,TOT,MLN_USD,A,2010,-7430.8,
293,CZE,BOP,TOT,MLN_USD,A,2011,-4798.433,
294,CZE,BOP,TOT,MLN_USD,A,2012,-3240.455,
295,CZE,BOP,TOT,MLN_USD,A,2013,-1113.623,
296,CZE,BOP,TOT,MLN_USD,A,2014,379.7132,
297,CZE,BOP,TOT,MLN_USD,A,2015,458.7488,
298,CZE,BOP,TOT,MLN_USD,A,2016,3036.75,
299,CZE,BOP,TOT,MLN_USD,A,2017,3568.84,
300,CZE,BOP,TOT,MLN_USD,A,2018,714.9166,
301,CZE,BOP,TOT,PC_GDP,A,1995,-2.291685,
302,CZE,BOP,TOT,PC_GDP,A,1996,-6.141373,
303,CZE,BOP,TOT,PC_GDP,A,1997,-5.821262,
304,CZE,BOP,TOT,PC_GDP,A,1998,-1.891754,
305,CZE,BOP,TOT,PC_GDP,A,1999,-2.261788,
306,CZE,BOP,TOT,PC_GDP,A,2000,-4.398974,
307,CZE,BOP,TOT,PC_GDP,A,2001,-4.878074,
308,CZE,BOP,TOT,PC_GDP,A,2002,-5.088461,
309,CZE,BOP,TOT,PC_GDP,A,2003,-5.703886,
310,CZE,BOP,TOT,PC_GDP,A,2004,-3.779903,
311,CZE,BOP,TOT,PC_GDP,A,2005,-2.124874,
312,CZE,BOP,TOT,PC_GDP,A,2006,-2.455775,
313,CZE,BOP,TOT,PC_GDP,A,2007,-4.606901,
314,CZE,BOP,TOT,PC_GDP,A,2008,-1.877167,
315,CZE,BOP,TOT,PC_GDP,A,2009,-2.265981,
316,CZE,BOP,TOT,PC_GDP,A,2010,-3.573116,
317,CZE,BOP,TOT,PC_GDP,A,2011,-2.109641,
318,CZE,BOP,TOT,PC_GDP,A,2012,-1.559569,
319,CZE,BOP,TOT,PC_GDP,A,2013,-0.5415038,
320,CZE,BOP,TOT,PC_GDP,A,2014,0.193738,
321,CZE,BOP,TOT,PC_GDP,A,2015,0.2440265,
322,CZE,BOP,TOT,PC_GDP,A,2016,1.570062,
323,CZE,BOP,TOT,PC_GDP,A,2017,1.664612,
324,CZE,BOP,TOT,PC_GDP,A,2018,0.2753189,
325,DNK,BOP,TOT,MLN_USD,A,2005,11088.55,
326,DNK,BOP,TOT,MLN_USD,A,2006,9411.56,
327,DNK,BOP,TOT,MLN_USD,A,2007,4622.107,
328,DNK,BOP,TOT,MLN_USD,A,2008,10306.05,
329,DNK,BOP,TOT,MLN_USD,A,2009,11135.54,
330,DNK,BOP,TOT,MLN_USD,A,2010,21140.37,
331,DNK,BOP,TOT,MLN_USD,A,2011,22705,
332,DNK,BOP,TOT,MLN_USD,A,2012,20558.58,
333,DNK,BOP,TOT,MLN_USD,A,2013,26651.76,
334,DNK,BOP,TOT,MLN_USD,A,2014,31467.09,
335,DNK,BOP,TOT,MLN_USD,A,2015,24964.43,
336,DNK,BOP,TOT,MLN_USD,A,2016,24343.82,
337,DNK,BOP,TOT,MLN_USD,A,2017,25549.57,
338,DNK,BOP,TOT,MLN_USD,A,2018,25004.84,
339,DNK,BOP,TOT,PC_GDP,A,2005,4.193556,
340,DNK,BOP,TOT,PC_GDP,A,2006,3.329275,
341,DNK,BOP,TOT,PC_GDP,A,2007,1.436947,
342,DNK,BOP,TOT,PC_GDP,A,2008,2.911652,
343,DNK,BOP,TOT,PC_GDP,A,2009,3.466725,
344,DNK,BOP,TOT,PC_GDP,A,2010,6.553095,
345,DNK,BOP,TOT,PC_GDP,A,2011,6.58612,
346,DNK,BOP,TOT,PC_GDP,A,2012,6.277441,
347,DNK,BOP,TOT,PC_GDP,A,2013,7.757413,
348,DNK,BOP,TOT,PC_GDP,A,2014,8.91781,
349,DNK,BOP,TOT,PC_GDP,A,2015,8.247806,
350,DNK,BOP,TOT,PC_GDP,A,2016,7.766189,
351,DNK,BOP,TOT,PC_GDP,A,2017,7.7569,
352,DNK,BOP,TOT,PC_GDP,A,2018,7.017274,
353,FIN,BOP,TOT,MLN_USD,A,1995,5572.799,
354,FIN,BOP,TOT,MLN_USD,A,1996,5095.424,
355,FIN,BOP,TOT,MLN_USD,A,1997,6538.467,
356,FIN,BOP,TOT,MLN_USD,A,1998,6855.334,B
357,FIN,BOP,TOT,MLN_USD,A,1999,6996.761,
358,FIN,BOP,TOT,MLN_USD,A,2000,9477.963,
359,FIN,BOP,TOT,MLN_USD,A,2001,10425.29,
360,FIN,BOP,TOT,MLN_USD,A,2002,11492.89,
361,FIN,BOP,TOT,MLN_USD,A,2003,7949.155,
362,FIN,BOP,TOT,MLN_USD,A,2004,11382.82,
363,FIN,BOP,TOT,MLN_USD,A,2005,6230.275,
364,FIN,BOP,TOT,MLN_USD,A,2006,8527.706,
365,FIN,BOP,TOT,MLN_USD,A,2007,10312.32,
366,FIN,BOP,TOT,MLN_USD,A,2008,7219.485,
367,FIN,BOP,TOT,MLN_USD,A,2009,5040.286,
368,FIN,BOP,TOT,MLN_USD,A,2010,3709.72,
369,FIN,BOP,TOT,MLN_USD,A,2011,-3962.964,
370,FIN,BOP,TOT,MLN_USD,A,2012,-5309.726,
371,FIN,BOP,TOT,MLN_USD,A,2013,-4873.24,
372,FIN,BOP,TOT,MLN_USD,A,2014,-3659.304,
373,FIN,BOP,TOT,MLN_USD,A,2015,-2194.239,
374,FIN,BOP,TOT,MLN_USD,A,2016,-4873.482,
375,FIN,BOP,TOT,MLN_USD,A,2017,-1929.868,
376,FIN,BOP,TOT,MLN_USD,A,2018,-3774.233,
377,FIN,BOP,TOT,PC_GDP,A,1995,4.159782,
378,FIN,BOP,TOT,PC_GDP,A,1996,3.863864,
379,FIN,BOP,TOT,PC_GDP,A,1997,5.122835,
380,FIN,BOP,TOT,PC_GDP,A,1998,5.112988,
381,FIN,BOP,TOT,PC_GDP,A,1999,5.15868,
382,FIN,BOP,TOT,PC_GDP,A,2000,7.535174,
383,FIN,BOP,TOT,PC_GDP,A,2001,8.050107,
384,FIN,BOP,TOT,PC_GDP,A,2002,8.214038,
385,FIN,BOP,TOT,PC_GDP,A,2003,4.640082,
386,FIN,BOP,TOT,PC_GDP,A,2004,5.75616,
387,FIN,BOP,TOT,PC_GDP,A,2005,3.034607,
388,FIN,BOP,TOT,PC_GDP,A,2006,3.929343,
389,FIN,BOP,TOT,PC_GDP,A,2007,4.020827,
390,FIN,BOP,TOT,PC_GDP,A,2008,2.545314,
391,FIN,BOP,TOT,PC_GDP,A,2009,1.993638,
392,FIN,BOP,TOT,PC_GDP,A,2010,1.491583,
393,FIN,BOP,TOT,PC_GDP,A,2011,-1.430896,
394,FIN,BOP,TOT,PC_GDP,A,2012,-2.048112,
395,FIN,BOP,TOT,PC_GDP,A,2013,-1.794885,
396,FIN,BOP,TOT,PC_GDP,A,2014,-1.329782,
397,FIN,BOP,TOT,PC_GDP,A,2015,-0.9341823,
398,FIN,BOP,TOT,PC_GDP,A,2016,-2.025843,
399,FIN,BOP,TOT,PC_GDP,A,2017,-0.7614697,
400,FIN,BOP,TOT,PC_GDP,A,2018,-1.367384,
401,FRA,BOP,TOT,MLN_USD,A,1999,50793.61,
402,FRA,BOP,TOT,MLN_USD,A,2000,14982.08,
403,FRA,BOP,TOT,MLN_USD,A,2001,21694.72,
404,FRA,BOP,TOT,MLN_USD,A,2002,17180.85,
405,FRA,BOP,TOT,MLN_USD,A,2003,15397.16,
406,FRA,BOP,TOT,MLN_USD,A,2004,11278.95,
407,FRA,BOP,TOT,MLN_USD,A,2005,2281.824,
408,FRA,BOP,TOT,MLN_USD,A,2006,5874.251,
409,FRA,BOP,TOT,MLN_USD,A,2007,-2707.788,
410,FRA,BOP,TOT,MLN_USD,A,2008,-20282.69,
411,FRA,BOP,TOT,MLN_USD,A,2009,-14794.38,
412,FRA,BOP,TOT,MLN_USD,A,2010,-16614.94,
413,FRA,BOP,TOT,MLN_USD,A,2011,-24599.58,
414,FRA,BOP,TOT,MLN_USD,A,2012,-25902.11,
415,FRA,BOP,TOT,MLN_USD,A,2013,-14332.98,
416,FRA,BOP,TOT,MLN_USD,A,2014,-27270.97,
417,FRA,BOP,TOT,MLN_USD,A,2015,-8976.633,
418,FRA,BOP,TOT,MLN_USD,A,2016,-12017.28,
419,FRA,BOP,TOT,MLN_USD,A,2017,-18483.67,
420,FRA,BOP,TOT,MLN_USD,A,2018,-17864.47,
421,FRA,BOP,TOT,PC_GDP,A,1999,3.419455,
422,FRA,BOP,TOT,PC_GDP,A,2000,1.10664,
423,FRA,BOP,TOT,PC_GDP,A,2001,1.573528,
424,FRA,BOP,TOT,PC_GDP,A,2002,1.149453,
425,FRA,BOP,TOT,PC_GDP,A,2003,0.8334441,
